"No.","Time","Source","Destination","Protocol","Length","Info"
"6711","16.815139","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5281844 Ack=5776 Win=489 Len=1394 TSval=657514836 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6712","16.815141","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5283238 Ack=5776 Win=489 Len=1394 TSval=657514836 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6713","16.815173","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5281844 Win=49988 Len=0 TSval=3071744729 TSecr=657514835"
"6714","16.815180","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5284632 Win=49988 Len=0 TSval=3071744729 TSecr=657514836"
"6715","16.815291","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5284632 Ack=5776 Win=489 Len=1394 TSval=657514836 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6716","16.815294","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5286026 Ack=5776 Win=489 Len=1394 TSval=657514836 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6717","16.815351","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5287420 Win=49988 Len=0 TSval=3071744729 TSecr=657514836"
"6718","16.815410","198.189.66.48","10.35.98.216","TLSv1.2","1460","Application Data"
"6719","16.815412","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5288814 Ack=5776 Win=489 Len=1394 TSval=657514836 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6720","16.815558","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5290208 Ack=5776 Win=489 Len=1394 TSval=657514836 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6721","16.815562","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5291602 Ack=5776 Win=489 Len=1394 TSval=657514836 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6722","16.815571","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5290208 Win=49988 Len=0 TSval=3071744729 TSecr=657514836"
